Country,Reference Year,Value
Yemen,2011,
United Arab Emirates,2011,9346
Tunisia,2011,
Syrian Arab Republic,2011,
Sudan,2011,
Somalia,2011,
Saudi Arabia,2011,
Qatar,2011,
Pakistan,2011,
Oman,2011,
Occupied Palestinian territory,2011,
Morocco,2011,
Libya,2011,
Lebanon,2011,
Kuwait,2011,
Jordan,2011,
Iraq,2011,
"Iran, Islamic Republic of",2011,
Egypt,2011,
Djibouti,2011,
Bahrain,2011,
Afghanistan,2011,
Yemen,2012,
United Arab Emirates,2012,9206
Tunisia,2012,10778
Syrian Arab Republic,2012,21639
Sudan,2012,
Somalia,2012,
Saudi Arabia,2012,
Qatar,2012,
Pakistan,2012,
Oman,2012,
Occupied Palestinian territory,2012,
Morocco,2012,
Libya,2012,
Lebanon,2012,
Kuwait,2012,3806
Jordan,2012,
Iraq,2012,
"Iran, Islamic Republic of",2012,
Egypt,2012,
Djibouti,2012,
Bahrain,2012,1200
Afghanistan,2012,
Yemen,2013,25235
United Arab Emirates,2013,
Tunisia,2013,
Syrian Arab Republic,2013,
Sudan,2013,36163
Somalia,2013,10195
Saudi Arabia,2013,29994
Qatar,2013,2003
Pakistan,2013,184350
Oman,2013,3855
Occupied Palestinian territory,2013,4485
Morocco,2013,32950
Libya,2013,6028
Lebanon,2013,4168
Kuwait,2013,
Jordan,2013,6530
Iraq,2013,35095
"Iran, Islamic Republic of",2013,76942
Egypt,2013,84628
Djibouti,2013,860
Bahrain,2013,
Afghanistan,2013,28100
Yemen,2014,
United Arab Emirates,2014,9086
Tunisia,2014,
Syrian Arab Republic,2014,22712
Sudan,2014,36160
Somalia,2014,12316
Saudi Arabia,2014,30770
Qatar,2014,2216
Pakistan,2014,
Oman,2014,3993
Occupied Palestinian territory,2014,4550
Morocco,2014,33848
Libya,2014,6136
Lebanon,2014,4232
Kuwait,2014,4039
Jordan,2014,6675
Iraq,2014,36004
"Iran, Islamic Republic of",2014,78773
Egypt,2014,86814
Djibouti,2014,
Bahrain,2014,1315
Afghanistan,2014,28500
Yemen,2015,
United Arab Emirates,2015,
Tunisia,2015,11154
Syrian Arab Republic,2015,
Sudan,2015,38435
Somalia,2015,
Saudi Arabia,2015,31521
Qatar,2015,2438
Pakistan,2015,189900
Oman,2015,4159
Occupied Palestinian territory,2015,4682
Morocco,2015,34125
Libya,2015,6246
Lebanon,2015,4292
Kuwait,2015,4184
Jordan,2015,9532
Iraq,2015,36934
"Iran, Islamic Republic of",2015,78773
Egypt,2015,88958
Djibouti,2015,
Bahrain,2015,
Afghanistan,2015,29200
Yemen,2016,
United Arab Emirates,2016,9121
Tunisia,2016,
Syrian Arab Republic,2016,
Sudan,2016,39599
Somalia,2016,
Saudi Arabia,2016,31742
Qatar,2016,2618
Pakistan,2016,
Oman,2016,4414
Occupied Palestinian territory,2016,4816
Morocco,2016,
Libya,2016,6384
Lebanon,2016,4356
Kuwait,2016,
Jordan,2016,9798
Iraq,2016,37883
"Iran, Islamic Republic of",2016,79926
Egypt,2016,91023
Djibouti,2016,
Bahrain,2016,1370
Afghanistan,2016,
Yemen,2017,27426
United Arab Emirates,2017,9121
Tunisia,2017,11446
Syrian Arab Republic,2017,24422
Sudan,2017,40783
Somalia,2017,
Saudi Arabia,2017,32552
Qatar,2017,2725
Pakistan,2017,207684
Oman,2017,4560
Occupied Palestinian territory,2017,4706
Morocco,2017,34852
Libya,2017,6545
Lebanon,2017,4421
Kuwait,2017,
Jordan,2017,10053
Iraq,2017,37140
"Iran, Islamic Republic of",2017,
Egypt,2017,92115
Djibouti,2017,
Bahrain,2017,1501
Afghanistan,2017,
Yemen,2018,28170
United Arab Emirates,2018,9304
Tunisia,2018,11435
Syrian Arab Republic,2018,21901
Sudan,2018,41985
Somalia,2018,
Saudi Arabia,2018,33414
Qatar,2018,2760
Pakistan,2018,
Oman,2018,4602
Occupied Palestinian territory,2018,4854
Morocco,2018,35220
Libya,2018,6588
Lebanon,2018,4485
Kuwait,2018,4564
Jordan,2018,10309
Iraq,2018,38124
"Iran, Islamic Republic of",2018,
Egypt,2018,
Djibouti,2018,
Bahrain,2018,
Afghanistan,2018,31575
Yemen,2019,
United Arab Emirates,2019,9503
Tunisia,2019,11551
Syrian Arab Republic,2019,22146
Sudan,2019,41985
Somalia,2019,
Saudi Arabia,2019,34218
Qatar,2019,2799
Pakistan,2019,222986
Oman,2019,4618
Occupied Palestinian territory,2019,4977
Morocco,2019,35587
Libya,2019,6692
Lebanon,2019,4547
Kuwait,2019,4651
Jordan,2019,10554
Iraq,2019,39128
"Iran, Islamic Republic of",2019,
Egypt,2019,
Djibouti,2019,959
Bahrain,2019,1503
Afghanistan,2019,31575
Yemen,2020,30416
United Arab Emirates,2020,
Tunisia,2020,11708
Syrian Arab Republic,2020,45322
