"№ п/п","Наименование заправочной станции","Наименование компании","Адрес АЗС",Широта,Долгота,"92 топливо","95 топливо","98 топливо","100-е топливо",Бутан,Пропан,"Дизельное топливо",Метан
1,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, Нефтеюганское шоссе, 16а",61.277500,73.365733,54.6,58.1,-,-,-,-,76,-
2,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, ул. Профсоюзов, 55а",61.263031,73.432136,54.6,58.1,77.5,-,-,-,76,-
3,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, ул. 30 лет Победы, 66 б",61.257385,73.452126,54.6,58.1,-,-,-,-,76,-
4,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, Югорский тракт, 9а",61.254019,73.343976,54.6,58.1,77.5,-,-,26.5,76,-
5,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, ул. Сосновая, 39",61.246671,73.513706,54.6,58.1,77.5,-,-,-,76,-
6,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут , Югорский тракт, 21 а",61.239651,73.386105,54.6,58.1,77.5,-,-,-,76,-
7,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, ул. Югорский тракт, 32",61.247855,73.350973,54.6,58.1,77.5,-,-,-,76,-
8,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, ул. Югорский тракт, 54",61.229967,73.415395,54.6,58.1,77.5,-,-,-,76,-
9,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, ул. Электротехническая, 1",61.262139,73.474912,54.6,58.1,-,-,-,26.5,76,-
10,"АЗС ПЕТРОЛСТАРТ","ООО ""ПЕТРОЛСТАРТ""","г.Сургут, ул. Маяковского, 38а",61.263421,73.422462,54.6,58.1,77.5,-,-,-,76,-
11,"АЗС № Простор","ООО ""АЗС-Простор""","г. Сургут, ул. Рационализаторов, 19/1",61.249703,73.482501,"РОЗНИЧНАЯ ПРОДАЖА ПРЕКРАЩЕНА",-,-,-,-,-,-,-
12,"АЗС № 3","ООО ""Сибтрансперевозки""","г.Сургут, ул. Профсоюзов, 58",61.263164,73.424998,54.6,58.9,-,-,-,-,76.6,-
13,"АЗС № 4","ООО ""Сибтрансперевозки""","г.Сургут, ул. Нефтеюганское шоссе, 32",61.268286,73.417880,54.6,58.9,-,-,-,-,76.6,-
14,"АЗС № 5","ООО ""Сибтрансперевозки""","г.Сургут, ул. Островского, 55",61.274351,73.406540,54.6,58.9,-,-,-,-,76.6,-
15,"АЗС № 6","ООО ""Сибтрансперевозки""","г.Сургут, ул. Геологическая, 6",61.236441,73.445009,54.6,58.9,-,-,-,-,76.6,-
16,"АЗС № 2","ООО ""Сибтрансперевозки""","г.Сургут, ул.Аэрофлотская, 25",-,-,54.6,58.9,-,-,-,-,76.6,-
17,"АЗС № 1","ООО ""СеверАвтоСервис"" (бензин, д/т), ООО ""Континенталь"" (газ)","г.Сургут, ул. Индустриальная, 36",61.279295,73.416245,53,54,-,-,-,25,72,-
18,"АЗС Югра","ООО ""Технопарк""","г. Сургут, ул. Профсоюзов, 47",61.264261,73.423484,55.2,60,-,81.4,-,26.8,76.7,-
19,"АЗС Югра","ООО ""Технопарк""","г. Сургут, ул. Рационализаторов, 8",61.254305, 73.478285,55.2,60,-,81.4,-,26.8,76.7,-
20,"АЗС Югра","ООО ""Технопарк""","г. Сургут, ул. Нефтеюганское шоссе, 27",61.272765,73.408774,55.2,60,-,81.4,-,26.8,76.7,-
21,"АЗС Югра","ООО ""Технопарк""","г. Сургут, Югорсий тракт, 21",61.232060,73.409867,55.2,60,-,81.4,-,26.8,76.7,-
22,"АЗС Югра","ООО ""Технопарк""","г. Сургут, Югорсий тракт, 39",61.230162,73.438096,55.2,60,-,81.4,-,26.8,76.7,-
23,"АЗС № 1","ИП Турсунбоев Эхсонжон Бахтиерович (ООО ""Норд"" - газ)","г.Сургут, ул. 30 лет Победы, 55",61.259537,73.459197,54.55,59,-,80.4,-,26.5,75,-
24,"АЗС № 2","ИП Бикмухаметова Елена Тимербаевна (ООО ""Норд"" - газ)","г.Сургут, ул. Контейнерная,14",61.276357,73.301802,54.55,59,-,80.4,-,26.5,75,-
25,"АЗС № 1","ИП Михеев Артур Викторович (ООО ""Норд"" - газ)","г.Сургут, ул. Лазурная, 1Б",61.264932,73.273053,54.55,59,-,80.4,-,26.5,75,-
26,"АЗС Лукойл","ООО ""Лукойл Уралнефтепродукт""","г. Сургут, ул. Профсоюзов 1",61.270535,73.373416,57.29,63.13,-,87.3,-,-,77.1,-
27,"АЗС Лукойл","ООО ""Лукойл Уралнефтепродукт""","г. Сургут, Северный промрайон, ул. 12 ""В""",61.265118,73.436231,57.29,63.13,-,87.3,-,-,77.1,-
28,"АЗС Лукойл","ООО ""Лукойл Уралнефтепродукт""","г. Сургут, ул. Крылова, 55",61.286214,73.370686,57.29,63.13,-,87.3,-,-,77.1,-
29,"АЗС Лукойл","ООО ""Лукойл Уралнефтепродукт""","г. Сургут, ул. Гагарина, 7",61.237530,73.392640,57.29,63.13,-,-,-,-,77.1,-
30,"АЗС Лукойл","ООО ""Лукойл Уралнефтепродукт""","г. Сургут, ул. Профсоюзов, 33/1",61.266146,73.408987,57.29,63.13,-,87.3,-,-,77.1,-
31,"АЗС Лукойл","ООО ""Лукойл Уралнефтепродукт""","г. Сургут, ул. Заячий остров, 2",61.251759,73.357509,57.29,63.13,-,-,-,-,77.1,-
32,"АЗС Лукойл","ООО ""Лукойл Уралнефтепродукт""","г. Сургут, ул. Грибоедова, 36",61.278746,73.345582,57.29,63.13,-,87.3,-,-,77.1,-
33,"АЗС Газпромнефть","ООО ""Газпромнефть-Региональные продажи""","г. Сургут, ул. Рационализаторов, 26",61.246503,73.481492,55.51,60.07,-,-,-,-,76.09,-
34,"АЗС Газпромнефть","ООО ""Газпромнефть-Региональные продажи""","г. Сургут, Югорский тракт, 42",61.233904,73.393662,55.51,60.07,-,-,-,-,76.09,-
35,"АЗС Газпромнефть","ООО ""Газпромнефть-Региональные продажи""","г. Сургут, ул. Аэрофлотская, 31",61.306881,73.386061,55.51,60.07,-,81.45,-,-,76.09,-
36,"АЗС № 1","ООО ""ДЗАМ""","г. Сургут, ул. Каролинского, 1а",61.245234,73.448094,56,60,-,-,-,-,76,-
37,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, ул Аэрофлотская, 17/1",61.298320,73.381354,55.55,58.9,-,-,-,-,76.6,-
38,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, ул. Игоря Киртбая, 8",61.271391,73.364234,55.55,58.9,-,-,-,-,76.6,-
39,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, ул. 30 лет Победы, 84",61.258799,73.462018,55.55,58.9,-,-,-,-,76.6,-
40,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, проспект Мира, 54",61.255575,73.429083,55.55,58.9,-,-,-,-,76.6,-
41,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут,  Югорский тракт, 9",61.253238,73.348081,55.55,58.9,-,-,-,26.8,76.6,-
42,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, ул. Крылова, 16",61.284117,73.334038,55.55,58.9,-,-,-,26.8,76.6,-
43,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, ул. Нефтеюганское шоссе, 1/1",61.282486,73.278556,55.55,58.9,-,-,-,-,76.6,-
44,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, Нефтеюганское шоссе, 19","61.272832, ",73.394586,55.55,58.9,-,-,-,-,76.6,-
45,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, 30 лет Победы, 61",61.260189,73.466887,55.55,58.9,-,-,-,-,76.6,-
46,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, Нефтеюганское шоссе, 72",61.260318,73.470354,55.55,58.9,-,80.4,-,26.8,76.6,-
47,"АЗС Эталон","ООО ""Топливное обеспечение""","г. Сургут, ул. Индустриальная, 11а",61.284433,73.387843,55.55,58.9,-,-,-,-,76.6,-
48,"АЗС № 1","ООО ""Вимана""","г. Сургут, Нефтеюганское шоссе, 62/2",61.260922,73.458506,-,-,-,-,-,28.5,-,-
49,АЗС,"ИП Федив Игорь Иванович","г.Сургут, Нефтеюганское шоссе, 27/1 Северный промрайон",61.272853,73.408199,-,-,-,-,-,26,-,-
50,АЗС,"ИП Федив Игорь Иванович","г.Сургут, улица Промышленная, 11 Северный промрайон",-,-,-,-,-,-,-,26,-,-
51,АЗС,"ИП Федив Игорь Иванович","г.Сургут, улица Промышленная, 11 автозаправочная станция",-,-,-,-,-,-,-,26,-,-
52,АЗС,"ИП Федив Игорь Иванович","г.Сургут, улица Аэропортовская, территориальные зоны ИТ.1 и ОД.2",-,-,-,-,-,-,-,26,-,-
53,АЗС,"ИП Федив Игорь Иванович","г.Сургут, улица Индустриальная, проезд 4П",-,-,-,-,-,-,-,26,-,-
54,АЗС,"ИП Федив Игорь Иванович","г.Сургут, улица Иосифа Каролинского, 1",61.245429,73.448208,-,-,-,-,-,26,-,-
55,АЗС,"ИП Федив Игорь Иванович","г. Сургут, Нефтеюганское шоссе, 66",-,-,-,-,-,-,-,26,-,-
56,АЗС,"ИП Федив Игорь Иванович","г.Сургут, п. Юность, ул. Саянская, 20/1",-,-,-,-,-,-,-,26,-,-
57,АЗС,"ИП Федив Игорь Иванович","г.Сургут, улица Аэрофлотская (гостиница ""Ливадия"")",61.329807,73.412408,-,-,-,-,-,26,-,-
58,АЗС,"ИП Федив Игорь Иванович","г. Сургут, ул. Профсоюзов, 60/1",-,-,-,-,-,-,-,26,-,-
59,АЗС,"ИП Федив Игорь Иванович","г. Сургут, Восточный промрайон, улица Рационализаторов (Щепеткина, восточный промузел, территориальная зона ПД.2)",-,-,-,-,-,-,-,26,-,-
60,АЗС,"ООО ""Технопарк""","г. Сургут, Нефтеюганское шоссе, 27/1",-,-,55.2,60,-,81.4,-,26.8,76.7,-
61,АЗС,"ООО ""Технопарк""","г. Сургут, Югорский тракт, 7/3",-,-,55.2,60,-,81.4,-,26.8,76.7,-
